tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	averageRating	numVotes
tt0361748	movie	Inglourious Basterds	Inglourious Basterds	0	2009	\N	153	Adventure,Drama,War	8.4	1711186
tt0361818	movie	Kushi	Kushi	0	2000	\N	178	Comedy,Drama,Romance	7.9	6732
tt0361862	movie	The Machinist	The Machinist	0	2004	\N	101	Drama,Thriller	7.6	432963
tt0362004	movie	Palindromes	Palindromes	0	2004	\N	100	Comedy,Drama	6.7	13261
tt0362225	movie	Tell No One	Ne le dis à personne	0	2006	\N	131	Crime,Drama,Mystery	7.5	60047
tt0362227	movie	The Terminal	The Terminal	0	2004	\N	128	Comedy,Drama,Romance	7.4	520009
tt0362269	movie	Kinsey	Kinsey	0	2004	\N	118	Biography,Drama,Romance	7.0	52089
tt0362270	movie	The Life Aquatic with Steve Zissou	The Life Aquatic with Steve Zissou	0	2004	\N	119	Action,Adventure,Comedy	7.2	217905
tt0362526	movie	Criminal	Criminal	0	2004	\N	87	Comedy,Crime,Drama	6.4	11319
tt0362590	movie	Employee of the Month	Employee of the Month	0	2004	\N	97	Comedy,Drama	6.1	10742
tt0363163	movie	Downfall	Der Untergang	0	2004	\N	156	Biography,Drama,History	8.2	392230
tt0363226	movie	The Blind Swordsman: Zatoichi	Zatôichi	0	2003	\N	116	Action,Comedy,Crime	7.4	52734
tt0363473	movie	Beyond the Sea	Beyond the Sea	0	2004	\N	118	Biography,Drama,Music	6.7	15932
tt0363532	movie	Intimate Strangers	Confidences trop intimes	0	2004	\N	104	Drama,Romance,Thriller	6.9	5374
tt0363547	movie	Dawn of the Dead	Dawn of the Dead	0	2004	\N	101	Action,Horror	7.2	283597
tt0363589	movie	Elephant	Elephant	0	2003	\N	81	Crime,Drama,Thriller	7.1	101765
tt0363771	movie	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	0	2005	\N	143	Adventure,Family,Fantasy	6.9	447858
tt0363780	movie	Lymelife	Lymelife	0	2008	\N	95	Comedy,Drama,Romance	6.8	14834
tt0363988	movie	Secret Window	Secret Window	0	2004	\N	96	Drama,Mystery,Thriller	6.5	217674
tt0364045	movie	Taking Lives	Taking Lives	0	2004	\N	103	Crime,Mystery,Thriller	6.2	99633
tt0364343	movie	The Final Cut	The Final Cut	0	2004	\N	95	Drama,Sci-Fi,Thriller	6.1	35429
tt0364385	movie	Ju-on: The Grudge	Ju-on	0	2002	\N	92	Horror	6.7	50908
tt0364517	movie	Love Me If You Dare	Jeux d'enfants	0	2003	\N	93	Comedy,Drama,Romance	7.5	73715
tt0364569	movie	Oldboy	Oldeuboi	0	2003	\N	120	Action,Drama,Mystery	8.3	690869
tt0364647	movie	Virumandi	Virumandi	0	2004	\N	175	Action,Crime,Drama	8.4	9011
tt0364725	movie	Dodgeball: A True Underdog Story	Dodgeball: A True Underdog Story	0	2004	\N	92	Comedy,Sport	6.7	278441
tt0364930	movie	Aileen: Life and Death of a Serial Killer	Aileen: Life and Death of a Serial Killer	0	2003	\N	93	Crime,Documentary	7.1	7137
tt0364955	movie	Art School Confidential	Art School Confidential	0	2006	\N	102	Comedy,Drama,Romance	6.3	17997
tt0364961	movie	The Assassination of Richard Nixon	The Assassination of Richard Nixon	0	2004	\N	95	Biography,Crime,Drama	6.9	26399
tt0365089	movie	The Red Colored Grey Truck	Sivi kamion crvene boje	0	2004	\N	95	Adventure,Comedy,Romance	7.3	5995
tt0365376	movie	A Tale of Two Sisters	Janghwa, Hongryeon	0	2003	\N	114	Drama,Horror,Mystery	7.1	72149
tt0365485	movie	The Matador	The Matador	0	2005	\N	96	Comedy,Crime,Thriller	6.7	47271
tt0365545	movie	Nappily Ever After	Nappily Ever After	0	2018	\N	98	Comedy,Drama,Romance	6.4	10189
tt0365675	movie	The Red Baron	Der Rote Baron	0	2008	\N	106	Action,Adventure,Biography	6.3	13506
tt0365686	movie	Revolver	Revolver	0	2005	\N	111	Action,Crime,Drama	6.3	106839
tt0365737	movie	Syriana	Syriana	0	2005	\N	128	Drama,Thriller	6.9	137047
tt0365748	movie	Shaun of the Dead	Shaun of the Dead	0	2004	\N	99	Comedy,Horror	7.9	625279
tt0365830	movie	Tenacious D in the Pick of Destiny	Tenacious D in The Pick of Destiny	0	2006	\N	94	Adventure,Comedy,Music	6.8	118110
tt0365847	movie	The Myth	San wa	0	2005	\N	122	Action,Adventure,Comedy	6.1	16992
tt0365885	movie	The Upside of Anger	The Upside of Anger	0	2005	\N	118	Comedy,Drama	6.8	23806
tt0365907	movie	A Walk Among the Tombstones	A Walk Among the Tombstones	0	2014	\N	114	Action,Crime,Drama	6.5	130560
tt0365960	movie	Zero Day	Zero Day	0	2002	\N	92	Drama	7.2	5411
tt0366292	movie	One Missed Call	Chakushin ari	0	2003	\N	112	Horror,Mystery	6.2	20266
tt0366526	movie	Godzilla: Tokyo S.O.S.	Gojira tai Mosura tai Mekagojira: Tôkyô S.O.S.	0	2003	\N	91	Action,Adventure,Fantasy	6.4	5615
tt0366532	movie	Seducing Doctor Lewis	La grande séduction	0	2003	\N	108	Comedy,Drama	7.3	5586
tt0366548	movie	Happy Feet	Happy Feet	0	2006	\N	108	Adventure,Animation,Comedy	6.4	208855
tt0366551	movie	Harold & Kumar Go to White Castle	Harold & Kumar Go to White Castle	0	2004	\N	88	Adventure,Comedy	7.0	212979
tt0366627	movie	The Jacket	The Jacket	0	2005	\N	103	Drama,Fantasy,Mystery	7.1	122747
